Phenotype	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33
Uveitis	92.10725	58.40612	-6.7783847	13.612665	10.168835	-8.168983	-5.8940163	1.4201516	0.06422171	-1.5093493	-0.15359779	-0.34938934	-0.08900733	-0.65176404	-0.1683527	-0.18434295	0.014279513	-0.08249095	-0.008759786	0.015105392	0.033727974	-0.118847646	-0.019041533	0.06327849	0.07157092	-0.03791532	0.016099516	0.030482221	-0.006317119	0.026607528	-0.001046893	-0.0040636547	-4.241241e-15
Asthma	-30.305908	14.3931055	10.761916	-21.157915	13.192958	-27.749298	12.821291	-7.9983225	4.4859858	6.8894086	0.80095667	-0.0121858865	-5.258947	-3.5478039	-6.409647	-5.5762186	2.0139174	1.2341063	-1.389678	2.8529027	0.95488596	-0.2035473	-2.280341	0.12572245	0.81752867	0.17041661	-0.40505955	-0.22572836	0.2173516	0.06418656	-0.0064617614	1.515773e-07	-4.241241e-15
Nasal_polyp	-5.162253	11.873805	1.6106973	-18.17688	-10.476599	-2.7421443	2.857497	6.383047	-13.611082	10.94562	-9.898873	6.9781475	1.5617988	-4.741389	1.813253	-1.4626333	1.1784912	-0.46613744	1.3308986	-4.465527	-1.5075545	-1.120862	0.18354198	-2.2002923	0.66420835	0.4750867	0.5720069	-0.24014363	-0.09271453	0.25458193	-0.063945	1.9425784e-07	-4.241241e-15
Ped_asthma	-28.189268	17.359327	6.0062594	-21.93942	14.811289	-26.773973	11.138719	-6.856865	7.538112	0.7298808	0.45403308	-1.7430961	-4.3394322	3.7815273	6.686875	6.334414	-0.94582355	-1.8352674	0.53021127	-3.2602527	-0.5304262	0.50203246	2.402948	-0.80260175	-0.8039101	0.31321737	0.040493965	0.15552782	0.15704325	0.018310703	0.059282854	-5.8907567e-08	-4.241241e-15
AIH	0.65639186	-14.172562	-4.1150937	6.5983458	-2.4058576	-0.49204826	6.000162	4.129639	1.4158368	0.94119674	2.5837908	-4.7784114	-1.0640152	0.7554148	1.1615355	-1.4987385	-0.9906126	-0.68530816	-0.60775673	0.4487729	-2.4441094	1.3692559	0.91085964	-0.6172161	2.5943427	-3.3287032	0.584572	-0.5352927	-1.0056133	2.7104793	-0.14583036	7.3955846e-07	-4.241241e-15
UC	25.797136	-23.202837	-13.081073	-1.222625	-6.339491	13.502588	-9.805388	-9.468985	8.9322195	5.075053	3.4553394	-2.2591684	2.8177679	-2.3052435	-6.1977987	1.4229509	3.755221	-1.1124845	-5.2029715	-5.120006	-1.2332256	-0.35197037	1.3243555	-1.6618509	-0.7620943	-0.44199136	-0.10325021	0.15900885	0.24431568	-0.2470511	-0.11583086	-8.304649e-09	-4.241241e-15
PsV	29.499634	-36.56656	83.67317	30.458902	15.081709	2.4942205	-3.0234451	-3.062899	1.012103	3.672414	-0.67458326	2.4524317	1.3804003	-0.3768135	0.9085993	0.101360984	-0.25230515	-1.0482206	0.7678554	-0.16875124	-0.03388117	-0.15058318	0.074751176	0.13599743	0.06174438	0.04410765	-0.12114041	-0.059338693	0.082023926	-0.035115812	0.0073158965	2.2327685e-08	-4.241241e-15
T2D	-18.12967	4.6221414	18.80722	-1.6811097	-8.876124	-4.3813033	3.993836	0.07827483	-6.989183	-12.749441	-5.1686616	-9.349195	1.3540548	-5.195947	-3.7836282	5.8880963	1.5395013	4.3450756	-0.0061707227	0.2760558	0.14318323	2.1426263	-1.1668947	-2.1359522	0.1101336	0.28200227	0.42624977	0.2797646	-0.26205432	-0.025913049	0.0027386148	-7.858444e-08	-4.241241e-15
RA	1.6287509	51.296257	20.696903	-28.463642	0.47371107	45.923195	25.359627	-0.42007244	1.5681089	0.7167307	4.3890233	0.8178996	1.7154155	3.0619214	-0.102605656	-0.08451105	-0.015368387	1.185495	-0.051314518	0.41790685	0.48267204	0.12608875	0.031761967	0.10276214	0.15753743	0.09815691	0.06743323	-0.08286112	-0.02574927	-0.08318395	-0.030427963	-1.1126105e-07	-4.241241e-15
SLE	-0.75139296	-15.68818	-10.691158	13.978928	2.5480704	0.8055944	5.9687896	0.15965413	-1.8820752	2.912248	1.8478723	-0.8362602	-3.8508449	0.017072564	-1.0212451	-1.1205795	-3.4059	2.8499799	1.2420635	-5.0410485	5.3766465	0.641513	-1.4595734	2.0326412	-1.8971072	-1.0491006	2.0988562	-0.07148551	-1.2733892	-0.17270458	0.031091914	-3.4496435e-07	-4.241241e-15
Sjogren_Syndrome	-6.975737	-7.4362783	-14.315426	16.534565	4.2303205	6.0658784	6.6878514	0.81197643	-1.7771245	7.213693	-6.2407246	1.4541876	-3.675488	2.002251	-4.228287	6.472168	-5.642632	0.42346692	-2.2443051	3.9064248	-1.7398909	-4.235858	-0.71736974	-0.10185223	-0.8523857	-0.5004762	0.11243875	0.4190071	0.14474596	0.039504636	-0.047562934	-3.497384e-07	-4.241241e-15
Chronic_Glomerulonephritis	1.8780717	-13.580079	-7.526592	6.2696424	-3.9544847	1.3144877	2.8720765	1.8322561	-2.5815144	-0.9864442	4.4674783	0.21269982	-1.6691443	-0.116768636	-2.2511766	-1.4207205	-1.2654266	1.3362311	3.9228253	-1.183941	0.7015946	0.3947617	1.1283996	-0.18467961	-0.9899055	0.84992063	-0.97570795	2.213597	2.9214072	1.7886971	-0.10029812	6.6950304e-07	-4.241241e-15
IgA_nephritis	17.910625	-8.881749	5.8009634	-29.585976	-13.860149	-1.7549316	-15.8325815	-10.980887	-3.9027731	-8.934188	1.5047259	9.073494	-0.5139936	1.9872096	-2.921794	-1.0636476	-5.664054	-2.8824668	-0.36876383	1.8547965	1.4872662	0.93645775	0.9914911	-2.1389534	-0.0156136155	0.40520248	0.7584112	0.18403293	-0.87148046	0.5007366	0.07281842	-7.846984e-09	-4.241241e-15
Nephrotic_Syndrome	-7.025613	-7.8241606	-6.6510496	9.88555	0.06428987	-1.9192599	6.9999595	1.973972	-2.579019	-3.735612	6.3032703	2.5808704	-2.0281239	-0.8790207	-1.9523513	-1.4747195	1.6938379	-0.53469986	3.595819	1.2651472	-4.4507666	0.59903777	0.6797929	-0.8405224	-3.9610825	-0.17877522	0.5365688	-2.6458063	-0.0461643	-0.38815036	0.24671423	6.7998256e-09	-4.241241e-15
Hashimoto_Disease	-30.292131	-4.0649447	0.15546858	-7.757002	19.438839	1.1936613	-7.1090803	14.046306	12.835758	-9.331263	-10.999376	6.0134087	0.94252753	5.620844	-4.566181	-1.5676478	1.688214	1.2137071	1.0720203	-1.7917866	-0.112521686	-0.18676372	0.46128997	0.41200104	0.27216756	-0.645004	0.058437042	-0.06726049	0.11159479	-0.0724807	0.017783193	-4.3982194e-08	-4.241241e-15
Hearing_Loss	11.419142	-7.8796806	-4.6277113	-1.6012772	-11.605329	-1.8663828	-4.7353005	-5.5408797	-6.400492	6.394892	-5.9732146	-7.8422737	2.522848	8.922114	-0.72174054	-1.3260124	1.5852761	-0.38380268	1.6160986	2.1082253	2.4756157	1.0312338	1.8718505	-0.59508413	0.7375375	-1.2792425	0.6387409	-1.3838311	1.4791981	-1.0811431	0.34070423	-9.56956e-08	-4.241241e-15
Angina	4.8846426	-11.821084	0.5081109	-6.7067075	-5.610383	-0.43077987	-1.5351665	-2.7142525	-5.0962286	-6.7469583	2.1574688	1.7343184	-1.9100281	0.20534416	2.6323464	-0.13395874	1.0504773	1.8669357	-2.5131335	-1.8034301	-0.7755664	-2.7890544	-1.1693559	2.3846884	0.99265605	-0.59841275	-1.1233795	-0.28881174	0.41270077	0.12581414	2.037651	-4.2216206e-07	-4.241241e-15
PAD	-7.007836	-8.393497	2.8090792	2.0268369	-3.88221	-5.131848	2.3375447	8.743	-1.5204986	-1.8313768	0.34300062	-7.5927615	3.089719	3.1495752	0.76827085	-2.7456465	-0.7962245	-1.2524309	-3.9228802	-0.21564358	2.1019025	-2.6044354	0.8946819	-0.26505473	-1.0309155	3.582726	-1.108704	-1.4707547	-0.7191084	1.2597893	-0.27674127	4.6597577e-07	-4.241241e-15
SAP	6.4869304	-11.458356	2.7105691	-11.570137	-7.3043475	-1.7343038	-3.8343952	-2.406985	-4.9441466	-7.6177397	2.452764	0.8492493	-3.1633768	0.26380944	3.1288083	-0.37948412	0.37679237	1.1586341	-0.292979	-1.2732037	0.16699576	-2.9950233	-1.3701987	0.97003114	0.3802414	-2.0893052	-1.9143567	-0.8245524	0.62233263	-0.89549625	-1.7378792	1.1551098e-07	-4.241241e-15
Varicose	20.193998	-13.43983	-4.0749288	-19.584953	-12.247366	-3.356106	-10.384236	2.6814508	11.484701	6.4750338	1.4273859	-2.050342	8.40851	0.07301399	3.3720384	1.0167494	-3.5196943	2.0878835	2.8314655	0.5383445	-0.84864545	0.78109473	-5.306923	-1.1619476	-0.6248923	0.11260235	-0.7804962	-0.44043082	0.14001545	0.07652036	0.19289927	-1.561258e-07	-4.241241e-15
COPD	-2.0071647	-10.926628	1.190746	-0.17538713	-1.758657	-3.5776644	4.2810917	5.5090265	-1.8843359	-4.215696	2.099368	-2.5868475	-0.40065786	2.2873676	2.4544015	-2.933955	-0.6826111	-3.2719076	-4.0330825	-0.11781332	-3.0626597	0.77111834	-2.7118776	0.6589396	0.40556628	0.8405932	3.5842009	1.4265411	1.0904285	-1.0237556	-0.24730004	-2.692592e-07	-4.241241e-15
Chronic_Sinusitis	-0.7328166	-0.53306645	2.4196408	-12.709486	-7.6207495	5.3883495	1.382563	5.2765365	1.0524749	0.57466894	-7.613477	-3.762203	-0.6236429	-6.5772057	1.4525288	-1.8017802	-2.4658506	-4.754036	-2.0582702	1.541528	0.39068568	3.0155497	1.431007	2.8130462	-2.396605	-1.4498351	-2.0250506	0.76646733	-0.03216082	-0.5357801	0.1922758	6.6744583e-09	-4.241241e-15
JRA	11.247947	-10.819171	-8.885077	2.8552008	-4.497752	3.3538165	-5.0813193	-7.1580744	-5.723379	4.020989	-3.4124048	2.7786665	-3.194487	7.057977	0.3652775	1.182057	4.589483	1.9553671	-0.1516255	0.5793085	-2.4514227	3.4841154	-1.5469527	3.0404081	-0.5480203	1.6319131	-1.1549492	0.98018056	-1.3394079	0.65766394	-0.38624984	1.439105e-07	-4.241241e-15
